builder_key,model,family,contrast,nodes,edges,density,average_degree,connected_components,isolates,largest_component_share
qwen3_1_7b,Qwen3 1.7B,qwen3,ER+RR−ER,0.0,2.372804015514488,2.372804015514481,2.372804015514489,-3.5618878005342833,-4.466230936819172,0.8767881864328531
qwen3_1_7b,Qwen3 1.7B,qwen3,ER+RR−Native,-1.589464123524069,1.6077898550724639,4.916889039131506,3.2488939828655123,-6.718346253229974,-7.684210526315789,1.5072298665432693
qwen3_4b,Qwen3 4B,qwen3,ER−Native,-2.864115078345749,-0.7275902211874272,5.213339903849253,2.1995216895193264,-6.0414026193493875,-6.314312441534144,1.6056681372829118
qwen3_4b,Qwen3 4B,qwen3,ER+RR−ER,0.0,1.0993843447669305,1.099384344766926,1.0993843447669347,-1.70863309352518,-1.8472291562656016,0.5288906518577385
qwen3_4b,Qwen3 4B,qwen3,ER+RR−Native,-2.864115078345749,0.3637951105937136,6.370038891358585,3.32308723140059,-7.646810308407266,-8.044901777362021,2.1345587891406503
qwen3_8b,Qwen3 8B,qwen3,ER−Native,-6.688490439699427,-0.495458298926507,14.28119928557781,6.636943470270205,-7.637087009167964,-7.70106886280007,0.6678063158572098
qwen3_8b,Qwen3 8B,qwen3,ER+RR−ER,0.0,14.730290456431534,14.730290456431556,14.730290456431534,-2.9778069107594343,-4.0626483151400095,1.4351778025833206
qwen3_8b,Qwen3 8B,qwen3,ER+RR−Native,-6.688490439699427,14.16184971098266,31.1151518774368,22.344874977301703,-10.387476215187684,-11.450849833537761,2.1029841184405305
gemma3_270m,Gemma 3 270M,gemma3,ER−Native,-2.4582104228121926,-0.6329113924050633,4.441211202991076,1.8712995100040775,-2.662037037037037,-2.1963824289405687,0.7254694388936467
gemma3_270m,Gemma 3 270M,gemma3,ER+RR−ER,0.0,177.70700636942675,177.70700636942675,177.70700636942675,-30.439952437574316,-47.68824306472919,3.4274193548387095
gemma3_270m,Gemma 3 270M,gemma3,ER+RR−Native,-2.4582104228121926,175.9493670886076,190.04056104779687,182.90373621886482,-32.291666666666664,-48.83720930232558,4.152888793732356
gemma3_1b,Gemma 3 1B,gemma3,ER−Native,-2.3207481815032907,-0.11848341232227488,4.684902874060442,2.254588081072916,-4.109589041095891,-4.4308632543926665,0.4533037558927644
gemma3_1b,Gemma 3 1B,gemma3,ER+RR−ER,0.0,11.150652431791222,11.150652431791228,11.150652431791219,-8.142857142857142,-9.672262190247801,2.4468085106382986
gemma3_1b,Gemma 3 1B,gemma3,ER+RR−Native,-2.3207481815032907,11.018957345971565,16.35795254210515,13.656641793553167,-11.917808219178083,-13.674560733384263,2.900112266531063
gemma3_4b,Gemma 3 4B,gemma3,ER−Native,-1.3969081765691935,-0.4108264862252296,2.431187682943535,1.0000514913971839,-2.965599051008304,-2.6973026973026974,1.0705724132500816
gemma3_4b,Gemma 3 4B,gemma3,ER+RR−ER,0.0,2.3537976219364234,2.3537976219364096,2.353797621936431,-3.056234718826406,-3.9014373716632442,1.076690593124291
gemma3_4b,Gemma 3 4B,gemma3,ER+RR−Native,-1.3969081765691935,1.9333011116481391,4.842210542745881,3.377388301556262,-5.931198102016608,-6.4935064935064934,2.1472630063743727
gemma3_12b,Gemma 3 12B,gemma3,ER−Native,-1.1708253358925145,-0.4028436018957346,1.9712139924480319,0.7770799833216485,-2.43142144638404,-1.9943019943019944,0.44989821551917886
gemma3_12b,Gemma 3 12B,gemma3,ER+RR−ER,0.0,1.974779919105401,1.9747799191054023,1.974779919105402,-2.364217252396166,-1.8410852713178294,2.2528646339095015
