builder_key,display_name,family,parameter_billions,regime,answer_correct,token_f1,answer_exact_match,over_abstention,hallucination,unanswerable_correct,answer_latency_ms,evaluated_questions
qwen3_8b,Qwen3 8B,qwen3,8.0,ER+RR,0.30833333333333335,0.19777777777777777,0.16666666666666666,0.5333333333333333,0.26666666666666666,0.7333333333333333,41976.15280315513,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,Native,0.2916666666666667,0.1589436026936027,0.14444444444444443,0.6666666666666666,0.26666666666666666,0.7333333333333333,41090.102581309235,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER,0.275,0.1691178451178451,0.15555555555555556,0.6111111111111112,0.36666666666666664,0.6333333333333333,42371.626619781215,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,0.2916666666666667,0.17847222222222223,0.16666666666666666,0.6333333333333333,0.3333333333333333,0.6666666666666666,41368.878519740734,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,0.2916666666666667,0.18979591836734694,0.17777777777777778,0.5444444444444444,0.36666666666666664,0.6333333333333333,41309.31789856113,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,0.3,0.18888888888888888,0.17777777777777778,0.6111111111111112,0.3333333333333333,0.6666666666666666,41671.419054461876,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,0.3,0.1878787878787879,0.17777777777777778,0.6333333333333333,0.3333333333333333,0.6666666666666666,40726.05493888065,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,0.2833333333333333,0.15830687830687828,0.15555555555555556,0.6777777777777778,0.3333333333333333,0.6666666666666666,40787.694428487644,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,0.2916666666666667,0.19437946718648472,0.17777777777777778,0.5777777777777777,0.36666666666666664,0.6333333333333333,41525.969611785455,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,0.30833333333333335,0.1893289621359797,0.17777777777777778,0.6,0.3,0.7,41602.340015239315,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,0.31666666666666665,0.1680186527106817,0.15555555555555556,0.5777777777777777,0.2,0.8,41352.154886120115,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,0.36666666666666664,0.19961223092157626,0.18888888888888888,0.6222222222222222,0.1,0.9,43756.55205035388,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,0.375,0.21090737699933101,0.2,0.5888888888888889,0.1,0.9,41433.933840920996,120
