builder_key,display_name,family,parameter_billions,regime,Graph Construction,ER,RR,Retrieval,QA,Graph Construction_share,ER_share,RR_share,Retrieval_share,QA_share,Graph Construction_seconds_per_unit,ER_seconds_per_unit,RR_seconds_per_unit,Retrieval_seconds_per_unit,QA_seconds_per_unit,retrieval_latency_mean_s,retrieval_latency_p95_s,answer_latency_mean_s,answer_latency_p95_s,context_tokens_mean,answer_tokens_mean,retrieval_mrr,qa_accuracy,questions,total_pipeline_hours,correct_answers_per_pipeline_hour,mrr_points_per_pipeline_hour,retry_excess,max_attempt_count,qa_pareto,mrr_pareto
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER+RR,10.7274220025,2.4626466588888887,6.5340220075,0.17153381166666665,1.338414918888889,0.5051993076164616,0.11597636288427156,0.30771450898178854,0.008078246839419285,0.06303157367805894,87.76981638409092,57.19695465806451,151.75793049677418,5.14601435,40.152447566666666,5.119475436767486,6.565964633377734,40.13195140977235,45.168570843886116,5400.058333333333,5715.575,0.3,0.325,120,21.234039399444445,1.836673619481952,1.412825861139963,0.0,1.0,False,False
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,Native,16.50036525111111,0.0,0.0,0.17051879055555558,1.3434183119444445,0.9159591599617779,0.0,0.0,0.009465744895825717,0.07457509514239642,135.00298841818181,,,5.115563716666667,40.30254935833333,5.091637121876314,6.545180466992314,40.28501281493324,45.17614056399907,5435.308333333333,5710.691666666667,0.17222222222222222,0.2833333333333333,120,18.014302353611107,1.8873892162237653,0.9560304853421033,0.0,1.0,False,False
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER,16.50036525111111,2.0286757575000003,0.0,0.17046547888888888,1.3471880044444444,0.8230965587738972,0.1011975195369592,0.0,0.008503420798745083,0.06720250089039856,135.00298841818181,47.1176304967742,,5.113964366666666,40.41564013333333,5.0882308979227675,6.58151882122038,40.39587856138824,44.56440386234317,5464.291666666667,5752.858333333334,0.2611111111111111,0.35833333333333334,120,20.046694491944443,2.144992034336589,1.3025145428142078,0.0,1.0,False,False
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER+RR,16.50036525111111,2.0286757575000003,6.246148774444444,0.1709805836111111,1.373408676111111,0.6269236002708369,0.07707857919014396,0.2373194785635608,0.00649632668262713,0.05218201529283126,135.00298841818181,47.1176304967742,145.0718425032258,5.129417508333333,41.20226028333333,5.104546102444874,6.631873668474145,41.17666876461978,46.16994324593106,5470.625,5759.8,0.25925925925925924,0.3416666666666667,120,26.319579042777775,1.5577756746550475,0.985043335373562,0.0,1.0,False,False
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,Native,2.445106440277778,0.0,0.0,0.1682970238888889,1.380444346111111,0.612218230746183,0.0,0.0,0.0421390678572661,0.345642701396551,20.005416329545454,,,5.048910716666667,41.41333038333333,5.029757933390404,6.527573659812333,41.39366053127742,45.3528835940524,5543.341666666666,5907.008333333333,0.32222222222222224,0.25,120,3.993847810277778,7.511553124983362,8.067964467574722,0.0,1.0,False,False
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER,2.445106440277778,1.0003694958333333,0.0,0.24829300305555557,1.432578848611111,0.47696850496710214,0.19514272875094646,0.0,0.04843467773441649,0.27945408854753495,20.005416329545454,23.23438829032258,,7.448790091666667,42.97736545833333,6.635978331246103,9.882750496582593,42.952986290946136,47.90046675009653,5586.658333333334,5949.875,0.3972222222222222,0.3,120,5.126347787777778,7.022543434495623,7.748639746395634,0.0,1.0,False,True
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER+RR,2.445106440277778,1.0003694958333333,3.797790876388889,0.1896054113888889,1.411946482222222,0.2764450602688319,0.11310231776058366,0.42938029625919844,0.021436890646258883,0.15963543506512715,20.005416329545454,23.23438829032258,88.20675583870968,5.688162341666667,42.35839446666667,5.662993410792357,7.755083437694702,42.33053977012751,46.50952408962184,5599.116666666667,5956.158333333334,0.3972222222222222,0.31666666666666665,120,8.844818706111111,4.296300609728137,4.491015988239208,0.0,1.0,False,False
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,Native,5.315044436388889,0.0,0.0,0.16967724305555557,1.3548216008333334,0.777105168954063,0.0,0.0,0.024808270976927622,0.19808656006900935,43.48672720681818,,,5.090317291666667,40.644648025,5.069391614290847,6.550275909673655,40.625934432677845,45.660215466923546,5411.016666666666,5758.783333333334,0.21666666666666667,0.3333333333333333,120,6.839543280277778,5.848343721333314,3.1678528490555453,0.0,1.0,False,False
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER,5.315044436388889,1.7552402322222225,0.0,0.17452077777777777,1.4461816594444445,0.6115582006584116,0.2019609753009663,0.0,0.02008066237500693,0.16640016166561528,43.48672720681818,40.766869909677425,,5.235623333333334,43.385449783333335,5.213860848611997,6.630998360505327,43.36047619063174,48.56787627455778,5685.775,6053.65,0.3277777777777778,0.30833333333333335,120,8.690987105833333,4.257283959743289,3.771467772144956,0.0,1.0,False,False
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER+RR,5.315044436388889,1.7552402322222225,4.423417365833333,0.181357225,1.4318434030555556,0.4055149086897317,0.13391724020688112,0.33748761852707726,0.013836772094056893,0.109243460482253,43.48672720681818,40.766869909677425,102.73743559354838,5.440716750000001,42.95530209166667,5.411848307321391,6.952558068698272,42.801058111493084,48.129970035329464,5689.25,6056.708333333333,0.3277777777777778,0.31666666666666665,120,13.1069026625,2.8992356911844124,2.5008027160801216,0.0,1.0,False,False
qwen3_4b,Qwen3 4B,qwen3,4.0,Native,13.784774125555556,0.0,0.0,0.16761021750000002,1.3341462044444445,0.9017594988425909,0.0,0.0,0.010964568904577988,0.08727593225283121,112.78451557272727,,,5.0283065250000005,40.02438613333334,5.004107654827142,6.481729233253281,40.00773919057198,45.0290972415707,5443.383333333333,5732.575,0.18888888888888888,0.3,120,15.2865305475,2.355014428430102,1.2356557186207324,0.0,1.0,False,False
qwen3_4b,Qwen3 4B,qwen3,4.0,ER,13.784774125555556,3.379568080277778,0.0,0.19415249694444445,1.3579492258333334,0.7365060466685821,0.18056678358176584,0.0,0.010373364603072432,0.07255380514657961,112.78451557272727,78.49319412258065,,5.824574908333333,40.738476775,5.587285278782171,7.432974964834284,40.715595472898954,45.73929724835325,5455.441666666667,5755.325,0.24444444444444444,0.325,120,18.716443928611113,2.083729160771945,1.306041069429709,1.0,2.0,False,False
qwen3_4b,Qwen3 4B,qwen3,4.0,ER+RR,13.784774125555556,3.379568080277778,6.824903664444444,0.19205407500000002,1.3536235358333333,0.5398400404744715,0.13235082074076854,0.26727723188569624,0.00752123166306207,0.053010675236001635,112.78451557272727,78.49319412258065,158.5138915612903,5.76162225,40.608706075,5.735671803459991,7.822964731475804,40.584373466623944,46.1236553980736,5424.758333333333,5723.091666666666,0.23333333333333334,0.325,120,25.534923481111115,1.5273200261927307,0.913781212252061,0.0,1.0,False,False
qwen3_8b,Qwen3 8B,qwen3,8.0,Native,27.020987275,0.0,0.0,0.16838068250000002,1.37530416,0.9459582509419295,0.0,0.0,0.005894717846134228,0.04814703121193634,221.08080497727272,,,5.0514204750000005,41.2591248,5.0272476236277726,6.485678274644306,41.24414129516905,45.68623513129423,5545.225,5874.633333333333,0.33796296296296297,0.2833333333333333,120,28.5646721175,1.1902814728676712,1.1831501568537581,0.0,1.0,False,False
qwen3_8b,Qwen3 8B,qwen3,8.0,ER,27.020987275,3.961592781388889,0.0,0.17957253722222222,1.4507380269444443,0.8285370220439449,0.1214732182890878,0.0,0.005506182794757837,0.04448357687220954,221.08080497727272,92.01118718064517,,5.387176116666667,43.52214080833333,5.3607100718848715,6.756801808450836,43.49994641391095,52.65960274767131,5633.575,5953.05,0.37777777777777777,0.30833333333333335,120,32.612890620555554,1.1345207154584236,1.158369499266859,3.0,3.0,False,False
qwen3_8b,Qwen3 8B,qwen3,8.0,ER+RR,27.020987275,3.961592781388889,8.245341685,0.19421327972222224,1.3999142622222223,0.6619213819339547,0.09704541665443321,0.20198255182564726,0.004757558308115485,0.03429309127784954,221.08080497727272,92.01118718064517,191.50471010322582,5.826398391666667,41.99742786666666,5.795903441358435,8.274540214578154,41.97615280315513,46.402284747816154,5634.541666666667,5962.066666666667,0.3762962962962963,0.30833333333333335,120,40.822049283333335,0.9063729197717229,0.9217966831712415,3.0,3.0,False,False
