builder_key,display_name,family,parameter_billions,regime,retrieval_latency_mean_s,retrieval_latency_p95_s,answer_latency_mean_s,answer_latency_p95_s,context_tokens_mean,answer_tokens_mean,retrieval_mrr,qa_accuracy,questions
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER,6.635978331246103,9.882750496582593,42.952986290946136,47.90046675009653,5586.658333333334,5949.875,0.3972222222222222,0.3,120
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER+RR,5.662993410792357,7.755083437694702,42.33053977012751,46.50952408962184,5599.116666666667,5956.158333333334,0.3972222222222222,0.31666666666666665,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,Native,5.069391614290847,6.550275909673655,40.625934432677845,45.660215466923546,5411.016666666666,5758.783333333334,0.21666666666666667,0.3333333333333333,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER,5.213860848611997,6.630998360505327,43.36047619063174,48.56787627455778,5685.775,6053.65,0.3277777777777778,0.30833333333333335,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER+RR,5.411848307321391,6.952558068698272,42.801058111493084,48.129970035329464,5689.25,6056.708333333333,0.3277777777777778,0.31666666666666665,120
qwen3_4b,Qwen3 4B,qwen3,4.0,Native,5.004107654827142,6.481729233253281,40.00773919057198,45.0290972415707,5443.383333333333,5732.575,0.18888888888888888,0.3,120
qwen3_4b,Qwen3 4B,qwen3,4.0,ER,5.587285278782171,7.432974964834284,40.715595472898954,45.73929724835325,5455.441666666667,5755.325,0.24444444444444444,0.325,120
qwen3_4b,Qwen3 4B,qwen3,4.0,ER+RR,5.735671803459991,7.822964731475804,40.584373466623944,46.1236553980736,5424.758333333333,5723.091666666666,0.23333333333333334,0.325,120
qwen3_8b,Qwen3 8B,qwen3,8.0,Native,5.0272476236277726,6.485678274644306,41.24414129516905,45.68623513129423,5545.225,5874.633333333333,0.33796296296296297,0.2833333333333333,120
qwen3_8b,Qwen3 8B,qwen3,8.0,ER,5.3607100718848715,6.756801808450836,43.49994641391095,52.65960274767131,5633.575,5953.05,0.37777777777777777,0.30833333333333335,120
qwen3_8b,Qwen3 8B,qwen3,8.0,ER+RR,5.795903441358435,8.274540214578154,41.97615280315513,46.402284747816154,5634.541666666667,5962.066666666667,0.3762962962962963,0.30833333333333335,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,Native,4.92569239368119,6.420509122614749,41.09010258130923,45.406265322933905,5487.25,5886.325,0.32222222222222224,0.2916666666666667,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER,5.006311091650665,6.448103596060537,42.37162661978121,45.67354748531943,5662.125,6049.466666666666,0.3592592592592593,0.275,120
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,5.004196612839587,6.519287550030276,41.36887851974073,45.59576088776812,5534.95,5895.475,0.37407407407407406,0.2916666666666667,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,4.947464828852874,6.412325924751348,41.30931789856113,45.94977330798283,5534.008333333333,5901.725,0.3731481481481482,0.2916666666666667,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,5.0337449985769736,6.558452266815584,41.67141905446188,45.5371617687284,5567.991666666667,5938.975,0.3703703703703704,0.3,120
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,5.039183694116461,6.522771435952745,40.72605493888065,45.11292404790875,5453.875,5816.3,0.3592592592592593,0.3,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,4.9914651205947544,6.507204958365764,40.78769442848764,46.38656504761311,5507.033333333334,5824.508333333333,0.27685185185185185,0.2833333333333333,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,5.114046966963603,6.6417877685045825,41.52596961178545,45.52216117286589,5569.266666666666,5906.575,0.34814814814814815,0.2916666666666667,120
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,5.117061114231668,6.67213301633019,41.602340015239314,45.653570778958965,5583.075,5919.35,0.34814814814814815,0.30833333333333335,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,4.985177567051141,6.4556499127473215,41.35215488612012,46.47626095835585,5603.575,5884.191666666667,0.2564814814814815,0.31666666666666665,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,6.353128436448363,9.71881135792937,43.75655205035388,51.74794530884828,5492.025,5802.316666666667,0.3648148148148148,0.36666666666666664,120
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,5.308679618760167,6.834159752202686,41.43393384092099,46.9112600998138,5511.308333333333,5822.541666666667,0.3703703703703704,0.375,120
